Sl. No.,India/State/UT,Dropout Rate - Primary (1 to 5) - Boys,Dropout Rate - Primary (1 to 5) - Girls,Dropout Rate - Primary (1 to 5) - Total,Dropout Rate - Upper Primary (6 to 8) - Boys,Dropout Rate - Upper Primary (6 to 8) - Girls,Dropout Rate - Upper Primary (6 to 8) - Total,Dropout Rate - Secondary (9 to 10) - Boys,Dropout Rate - Secondary (9 to 10) - Girls,Dropout Rate - Secondary (9 to 10) - Total
India,India,7.8,7.8,7.8,7.9,8.3,8.1,17.3,15.4,16.4
1,Andaman and Nicobar Islands,0,0.1,0,0.6,1.4,1,6.4,4.6,5.5
2,Andhra Pradesh,0,0,0,0,0,0,16.9,12.3,14.7
3,Arunachal Pradesh,16.3,13.6,15,9.9,11,10.5,17.7,16.1,16.9
4,Assam,8.9,8,8.5,11.5,9.2,10.3,29,29.9,29.5
5,Bihar,11.1,10.2,10.7,17,14.6,15.8,30.3,28.8,29.5
6,Chandigarh,0,0,0,0.3,0.8,0.5,1.6,0.4,1.1
7,Chhattisgarh,5.7,5.1,5.4,7.3,5.8,6.6,21.3,15.3,18.2
8,Dadra and Nagar Haveli and Daman and Diu,0,0,0,0.5,0.8,0.7,23.5,13.3,18.8
9,Delhi,0,0,0,2.1,1.7,1.9,8.4,6,7.3
10,Goa,0,0.7,0.3,1.7,2.1,1.9,10.9,6.4,8.8
11,Gujarat,0,0,0,4.1,7.7,5.8,25,21.2,23.3
12,Haryana,0.5,2.4,1.4,2.7,4.6,3.6,16.7,13.9,15.4
13,Himachal Pradesh,1,1,1,1.8,2.2,2,8,5.3,6.7
14,Jammu and Kashmir,8.4,9.4,8.9,3.5,5,4.2,8.6,9.5,9
15,Jharkhand,11.7,11.4,11.5,14.4,14.5,14.5,25.8,25.5,25.7
16,Karnataka,0,0,0,0,0,0,17.4,12.3,14.9
17,Kerala,3.2,2.9,3.1,2.1,1.6,1.9,8.1,5.3,6.7
18,Ladakh,5.3,4.9,5.1,2.6,2.8,2.7,12.5,10.7,11.6
19,Lakshadweep,5.1,4.1,4.6,11.1,3.9,7.7,11.2,8.2,9.8
20,Madhya Pradesh,6.5,7,6.8,9.4,10.8,10.1,22,20.7,21.4
21,Maharashtra,5,5,5,5.7,6,5.8,16.3,15.7,16
22,Manipur,12.9,13,12.9,8.6,9.2,8.9,13,14.1,13.5
23,Meghalaya,14.4,12.9,13.6,18.8,14.2,16.4,32.6,25.8,28.9
24,Mizoram,15,14.6,14.8,12,8.9,10.5,25.2,22.8,24
25,Nagaland,9.7,10,9.8,10.1,7.9,9,23.1,20,21.5
26,Odisha,0,0.1,0,3.1,3.2,3.1,19.3,16.1,17.7
27,Puducherry,3.2,3.2,3.2,2.2,2.2,2.2,9.7,5.2,7.5
28,Punjab,3.2,3.1,3.1,5.6,4.9,5.3,10.5,8.8,9.7
29,Rajasthan,4.6,4.1,4.4,5.6,5.9,5.7,12.3,11.5,11.9
30,Sikkim,5.5,3.5,4.5,2.3,2.1,2.2,18.9,12.1,15.4
31,Tamil Nadu,2.5,2.2,2.3,0,0.1,0,13.9,6.4,10.3
32,Telangana,2.7,1.4,2.1,5.6,4.4,5,12.3,10.9,11.6
33,Tripura,1.7,1.2,1.4,6.8,5,5.9,18.6,17.2,17.9
34,Uttar Pradesh,18.6,19,18.8,15,17.2,16,14.9,14.4,14.7
35,Uttarakhand,7.3,7.4,7.4,5.9,5.7,5.8,9.5,7.2,8.4
36,West Bengal,8.4,7.7,8.1,3.7,3.1,3.4,9.6,7.6,8.5
